epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1052.08,1.06891,0.85266,0.9892,0.63751,0.41692,0.42908,0.27177,1.33231,1.19909,1.1038,0.0001426,0.0001426,0.0001426
67,1067.15,1.06789,0.84616,0.9885,0.58592,0.4385,0.43633,0.27546,1.33121,1.18478,1.10685,0.00013864,0.00013864,0.00013864
68,1082.2,1.05814,0.84707,0.98611,0.65926,0.39565,0.42753,0.26988,1.30729,1.17706,1.09187,0.00013468,0.00013468,0.00013468
69,1099.12,1.06903,0.84758,0.99026,0.60636,0.40687,0.42738,0.26432,1.34912,1.2058,1.11187,0.00013072,0.00013072,0.00013072
70,1117.08,1.05249,0.84083,0.98662,0.71791,0.37314,0.42915,0.26987,1.34227,1.20937,1.11077,0.00012676,0.00012676,0.00012676
71,1135.08,1.06786,0.84326,0.98632,0.67989,0.40354,0.42137,0.26196,1.33126,1.20521,1.10828,0.0001228,0.0001228,0.0001228
72,1150.13,1.04173,0.81868,0.97997,0.68227,0.38881,0.42741,0.26429,1.33128,1.18332,1.10853,0.00011884,0.00011884,0.00011884
73,1165.21,1.06234,0.83023,0.98074,0.65232,0.38993,0.42402,0.26151,1.36075,1.21168,1.1192,0.00011488,0.00011488,0.00011488
74,1180.09,1.05011,0.82064,0.97781,0.65305,0.40849,0.42902,0.2675,1.31864,1.18692,1.10129,0.00011092,0.00011092,0.00011092
75,1194.96,1.04285,0.81035,0.97775,0.68567,0.39149,0.42852,0.2659,1.33062,1.19821,1.10389,0.00010696,0.00010696,0.00010696
76,1209.9,1.04533,0.8113,0.97902,0.69739,0.37444,0.41931,0.25704,1.34612,1.20428,1.11014,0.000103,0.000103,0.000103
77,1225.2,1.03506,0.81233,0.97393,0.56539,0.41181,0.42161,0.26102,1.31983,1.22576,1.09944,9.904e-05,9.904e-05,9.904e-05
78,1240.25,1.03262,0.80279,0.97553,0.71369,0.36936,0.42503,0.26497,1.34339,1.19596,1.10848,9.508e-05,9.508e-05,9.508e-05
79,1256.05,1.02795,0.79247,0.97226,0.61876,0.40445,0.42668,0.26761,1.32605,1.18474,1.10107,9.112e-05,9.112e-05,9.112e-05
80,1271.1,1.04477,0.79916,0.97645,0.69663,0.38605,0.43678,0.26657,1.34997,1.17973,1.1146,8.716e-05,8.716e-05,8.716e-05
81,1286.34,1.02296,0.78857,0.97372,0.61307,0.41203,0.42804,0.26847,1.34126,1.1878,1.11605,8.32e-05,8.32e-05,8.32e-05
82,1301.39,1.02979,0.79321,0.97069,0.61721,0.42012,0.43258,0.26723,1.33203,1.17822,1.10626,7.924e-05,7.924e-05,7.924e-05
83,1316.48,1.01487,0.77903,0.96929,0.60746,0.4139,0.43443,0.26642,1.35853,1.20055,1.12255,7.528e-05,7.528e-05,7.528e-05
84,1331.77,1.03655,0.79394,0.97266,0.65818,0.39483,0.42855,0.26877,1.32352,1.17382,1.1003,7.132e-05,7.132e-05,7.132e-05
85,1347.06,1.01761,0.78052,0.97123,0.65097,0.40083,0.43071,0.26952,1.34244,1.20041,1.11431,6.736e-05,6.736e-05,6.736e-05
86,1362.1,1.01828,0.77915,0.97188,0.64691,0.39357,0.42256,0.26378,1.3418,1.18698,1.11714,6.34e-05,6.34e-05,6.34e-05
87,1377.23,1.00751,0.77179,0.964,0.62044,0.41199,0.43296,0.27157,1.33311,1.17998,1.11004,5.944e-05,5.944e-05,5.944e-05
88,1392.34,1.02546,0.77857,0.97183,0.70305,0.39074,0.42864,0.26544,1.34062,1.19273,1.10906,5.548e-05,5.548e-05,5.548e-05
89,1407.34,1.01528,0.76993,0.96721,0.68439,0.39271,0.42854,0.26904,1.33892,1.18154,1.10713,5.152e-05,5.152e-05,5.152e-05
90,1422.46,1.01051,0.75938,0.96582,0.62054,0.42627,0.42736,0.26947,1.34175,1.18533,1.11114,4.756e-05,4.756e-05,4.756e-05
91,1439.19,1.023,0.74186,0.95976,0.57873,0.389,0.39192,0.23639,1.36216,1.22604,1.12804,4.36e-05,4.36e-05,4.36e-05
92,1454.39,0.98593,0.70597,0.94741,0.59714,0.41151,0.42222,0.26412,1.34317,1.20324,1.11459,3.964e-05,3.964e-05,3.964e-05
93,1469.48,0.98732,0.70388,0.94689,0.60211,0.42012,0.42428,0.26624,1.34789,1.19722,1.1172,3.568e-05,3.568e-05,3.568e-05
94,1484.77,0.98129,0.6941,0.94207,0.64813,0.40214,0.42594,0.2674,1.33871,1.19337,1.11231,3.172e-05,3.172e-05,3.172e-05
95,1499.85,0.97797,0.69402,0.94378,0.64421,0.39463,0.4256,0.26759,1.34498,1.20455,1.11632,2.776e-05,2.776e-05,2.776e-05
96,1515.01,0.97621,0.68773,0.94181,0.64456,0.38661,0.41662,0.26154,1.3625,1.20859,1.12448,2.38e-05,2.38e-05,2.38e-05
97,1530.18,0.97258,0.68556,0.94016,0.67152,0.37994,0.43011,0.27095,1.34894,1.20511,1.11954,1.984e-05,1.984e-05,1.984e-05
98,1545.44,0.97154,0.67961,0.94082,0.62347,0.3999,0.42444,0.26978,1.35054,1.20465,1.1176,1.588e-05,1.588e-05,1.588e-05
99,1561.05,0.96437,0.67762,0.93809,0.69994,0.36071,0.42527,0.26923,1.35274,1.19926,1.11743,1.192e-05,1.192e-05,1.192e-05
100,1576.57,0.96496,0.67796,0.93699,0.69838,0.36791,0.43544,0.27179,1.34596,1.19351,1.11551,7.96e-06,7.96e-06,7.96e-06
